Source: https://docs.google.com/spreadsheets/d/10ym38nAt6UfymKKZpemMyUmkSki4grXnesZznxNHhLg/export?format=csv&gid=0

---

Fecha del Registro,Fecha del Turno,Turno,Encargado,Tipo de Registro,E/S,Categoría,Producto / Insumo,Código Artículo,Cantidad,Motivo / Detalle / Comentarios,Estado
4/5/2026 21:40:57,4/5/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,CONSERVAS,BERENJENA E/ESCAB X 360 GR,02030002,46( lote 4-2/18),Falta aceite | ,Cargado en sistema
4/5/2026 21:40:57,4/5/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,7 Tapas amanecer ,,Asociado a reproceso de: BERENJENA E/ESCAB X 360 GR,,Cargado en sistema
4/5/2026 21:40:57,4/5/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,CONSERVAS,BERENJENA E/ESCAB X 360 GR,02030002,45(lote 4-2/17),Falta de aceite | ,Cargado en sistema
4/5/2026 21:40:57,4/5/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,7 Tapas amanecer,,Asociado a reproceso de: BERENJENA E/ESCAB X 360 GR,,Cargado en sistema
4/5/2026 21:40:57,4/5/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,CONSERVAS,BERENJENA E/ESCAB X 360 GR,02030002,94 lote 4-2/31,Falta aceite | ,Cargado en sistema
4/5/2026 21:40:57,4/5/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,14 tapas amanecer,,Asociado a reproceso de: BERENJENA E/ESCAB X 360 GR,,Cargado en sistema
4/5/2026 21:40:57,4/5/2026,Tarde,Raúl,REPROCESO (Producto Salvado),E,CONSERVAS,BERENJENA E/ESCAB X 360 GR,02030002,96, Falta aceite | ,Cargado en sistema
4/5/2026 21:40:57,4/5/2026,Tarde,Raúl,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,4 tapas amanecer,,Asociado a reproceso de: BERENJENA E/ESCAB X 360 GR,,Cargado en sistema
4/5/2026 17:34:15,4/5/2026,Mañana,Dani,PRODUCCIÓN,E,MERMELADAS,MERMELADA DE TOMATE X 430 GR,04010007,112,"Los lotes de pera son pruebas ambas.
Pero están en frascos.",Cargado en sistema
4/5/2026 17:34:15,4/5/2026,Mañana,Dani,PRODUCCIÓN,E,MERMELADAS,MERMELADA DE PERA X 450 GR,04010006,22,"Los lotes de pera son pruebas ambas.
Pero están en frascos.",Pendiente de carga en sistema
4/5/2026 17:34:15,4/5/2026,Mañana,Dani,DECOMISO,S,VERDURAS,TOMATE PERITA,10020014,32kg,"Descarte | Los lotes de pera son pruebas ambas.
Pero están en frascos.",Cargado en sistema
4/5/2026 17:34:15,4/5/2026,Mañana,Dani,DECOMISO,S,FRUTAS,PERA,10030003,4kg,"Descarte | Los lotes de pera son pruebas ambas.
Pero están en frascos.",Cargado en sistema
4/5/2026 14:14:20,4/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA JAMÓN Y QUESO,07020005,106,,Cargado en sistema
4/5/2026 14:14:20,4/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CALABAZA,07020000,60,,Cargado en sistema
4/5/2026 14:14:20,4/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CALABAZA INTEGRAL,07020007,40,,Cargado en sistema
4/5/2026 14:14:20,4/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA HUMITA,07020004,74,,Cargado en sistema
4/5/2026 14:14:20,4/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA HUMITA INTEGRAL,07020011,51,,Cargado en sistema
4/5/2026 14:14:20,4/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA DE VERDURAS ASADAS,07020002,60,,Cargado en sistema
4/5/2026 14:14:20,4/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA VERDURAS ASADAS INTEGRAL,07020009,28,,Cargado en sistema
4/5/2026 14:14:20,4/5/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA ACELGA,07020001,31,,Cargado en sistema
4/5/2026 9:43:25,30/4/2026,Tarde,Raúl,PRODUCCIÓN,E,ACEITUNAS,"AC VE C/C N° 0 x 1,55 KG",05010002,60,,Cargado en sistema
4/5/2026 9:43:25,30/4/2026,Tarde,Raúl,PRODUCCIÓN,E,ACEITUNAS,"AC VE S/C N° 0 x 1,38 KG",05010006,60,,Cargado en sistema
4/5/2026 9:43:25,30/4/2026,Tarde,Raúl,PRODUCCIÓN,E,CONSERVAS,MORRONES E/ESCAB X 450 GR,02030005,139,,Cargado en sistema
4/5/2026 9:43:25,30/4/2026,Tarde,Raúl,DECOMISO,S,VERDURAS,TOMATE PERITA,10020014,54,Podrido | ,Cargado en sistema
4/5/2026 6:16:54,30/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CAPRESE,07020003,120,,Cargado en sistema
4/5/2026 6:16:54,30/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CALABAZA INTEGRAL,07020007,60,,Cargado en sistema
4/5/2026 6:16:54,30/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CEBOLLA CARAMELIZADA,07020006,60,,Cargado en sistema
4/5/2026 6:16:54,30/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CEBOLLA CARAMELIZADA INTEGRAL,07020012,60,,Cargado en sistema
4/5/2026 6:16:54,30/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CAPRESE INTEGRAL,07020010,60,,Cargado en sistema

4/5/2026 6:16:54,30/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TORTILLA PAPA X 600 GR,07010001,60,,Cargado en sistema
30/4/2026 18:07:16,30/4/2026,Mañana,Dani,PRODUCCIÓN,E,MERMELADAS,MERMELADA DE TOMATE X 430 GR,04010007,93,,Cargado en sistema
30/4/2026 18:07:16,30/4/2026,Mañana,Dani,REPROCESO (Producto Salvado),E,OTRO,Mermelada tomate,,57,,Cargado en sistema
30/4/2026 18:07:16,30/4/2026,Mañana,Dani,REPROCESO (Insumos Gastados),S,INSUMOS EXTRAS,57 tapas,,Asociado a reproceso de: Mermelada tomate,,Cargado en sistema
30/4/2026 18:07:16,30/4/2026,Mañana,Dani,DECOMISO,S,OTRO,Tomate,,12,,Cargado en sistema
30/4/2026 18:07:16,30/4/2026,Mañana,Dani,EN PROCESO,-,OTRO,Tomate,,Olla de 30,"Tomate lavado | Había quedado líquida.  |Se hizo la primer prueba de 5 kg de garbanzo en humus de pimiento ahumado. 
Se dejó 6 kg de garbanzo cocidos en el freezer 
Lo que demoro mucho la limpieza y el vaciado del producto de la maquina. 
Se hicieron 3 limpiezas de la máquina por cambios de productos. (Cada proceso de limpieza dura aproximadamente 45 minutos)",Cargado en sistema
30/4/2026 9:40:52,30/4/2026,Mañana,Any,DECOMISO,S,TARTAS Y TORTILLAS,TORTILLA PAPA X 600 GR,07010001,1,Prueba | ,Cargado en sistema
30/4/2026 9:40:52,30/4/2026,Mañana,Any,DECOMISO,S,TARTAS Y TORTILLAS,TORTILLA PAPA Y CEB X 600 GR,07010000,1,Prueba | ,Cargado en sistema
30/4/2026 9:28:49,29/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA JAMÓN Y QUESO,07020005,144,,Cargado en sistema
30/4/2026 9:28:49,29/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CALABAZA,07020000,100,,Cargado en sistema
30/4/2026 9:28:49,29/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA HUMITA,07020004,120,,Cargado en sistema
30/4/2026 9:28:49,29/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA HUMITA INTEGRAL,07020011,58,,Cargado en sistema
30/4/2026 9:28:49,29/4/2026,Mañana,Any,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TARTA CALABAZA INTEGRAL,07020007,60,,Cargado en sistema
30/4/2026 6:13:07,29/4/2026,Mañana,Ana,PRODUCCIÓN,E,TARTAS Y TORTILLAS,TORTILLA PAPA X 600 GR,07010001,60,,Cargado en sistema
30/4/2026 2:00:45,29/4/2026,Tarde,Raúl,PRODUCCIÓN,E,ACEITUNAS,AC VE C/C N° 00 x 370 GR,05010011,49,,Cargado en sistema
30/4/2026 2:00:45,29/4/2026,Tarde,Raúl,PRODUCCIÓN,E,ACEITUNAS,AC VE C/C N° 0 x 370 GR,05010001,44,,Cargado en sistema
30/4/2026 2:00:45,29/4/2026,Tarde,Raúl,PRODUCCIÓN,E,SALSAS,TOMATE TRITURADO X 500 GR,08010001,36,,Cargado en sistema
30/4/2026 2:00:45,29/4/2026,Tarde,Raúl,PRODUCCIÓN,E,CONSERVAS,MORRONES E/ESCAB X 450 GR,02030005,117,Se rompió la maxi pimer,Cargado en sistema
30/4/2026 2:00:45,29/4/2026,Tarde,Raúl,DECOMISO,S,VERDURAS,TOMATE PERITA,10020014,450,Podrido | Se rompió la maxi pimer,Cargado en sistema
30/4/2026 2:00:45,29/4/2026,Tarde,Raúl,DECOMISO,S,VERDURAS,BERENJENAS,10020000,105,Podrido | Se rompió la maxi pimer,Cargado en sistema
30/4/2026 2:00:45,29/4/2026,Tarde,Raúl,MERMA,S,SALSAS,TOMATE TRITURADO X 940 GR,08010000,5 botellas lote 4-15/279,Se utilizaron en la preparación de viandas | Se rompió la maxi pimer,Cargado en sistema
29/4/2026 18:03:23,29/4/2026,Mañana,Dani,PRODUCCIÓN,E,MERMELADAS,MERMELADA DE TOMATE X 430 GR,04010007,141,Se utilizaron 18 cajones de tomates. Todos en muy mal estado. Se fue seleccionando los apropiados para la mermelada.,Cargado en sistema
29/4/2026 18:03:23,29/4/2026,Mañana,Dani,DECOMISO,S,OTRO,TOMATE PERITA,10020014,154,Muy podrido | Se utilizaron 18 cajones de tomates. Todos en muy mal estado. Se fue seleccionando los apropiados para la mermelada.,Cargado en sistema
29/4/2026 18:03:23,29/4/2026,Mañana,Dani,EN PROCESO,-,OTRO,Garbanzo en remojo,,5kg,"Quedo en remojo, para prueba de humus. También se dejo preparado el morrón asado con ajo confitado | Se utilizaron 18 cajones de tomates. Todos en muy mal estado. Se fue seleccionando los apropiados para la mermelada.",Cargado en sistema
